Indexed Name,Repo URL,Category,,,,Groups,Count
3190_signalapp_libsignal-service-java,https://github.com/signalapp/libsignal-service-java.git,social,messenger,,,,
3222_opentelecoms-org_lumicall,https://github.com/opentelecoms-org/lumicall.git,social,dialer,,,,
3235_surespot_android,https://github.com/surespot/android.git,social,messenger,,,,
3260_federicoiosue_omni-notes,https://github.com/federicoiosue/omni-notes.git,social,notes,,,,
3275_zom_zom-android,https://github.com/zom/zom-android.git,social,messenger,,,,
34_signalapp_signal-android,https://github.com/signalapp/signal-android.git,social,messenger,,,,
3720_nextcloud_talk-android,https://github.com/nextcloud/talk-android.git,social,video calls,,,,
3740_mpusher_mpush,https://github.com/mpusher/mpush.git,social,messenger,,,,
3777_m66b_open-source-email,https://github.com/m66b/open-source-email.git,social,email,,,,
429_applozic_applozic-android-sdk,https://github.com/applozic/applozic-android-sdk.git,social,chat,messenger,,,
44_drklo_telegram,https://github.com/drklo/telegram.git,social,messenger,,,,
951_siacs_conversations,https://github.com/siacs/conversations.git,social,chat,messenger,,,
971_klinker24_talon-twitter-holo,https://github.com/klinker24/talon-twitter-holo.git,social,twitter,,,,
1453_google_samba-documents-provider,https://github.com/google/samba-documents-provider.git,utility,file manager,,,,
149_jackpal_android-terminal-emulator,https://github.com/jackpal/android-terminal-emulator.git,utility,terminal emulator,,,,
3440_tomroush_pdfbox-android,https://github.com/tomroush/pdfbox-android.git,utility,,,,,
3463_connectbot_connectbot,https://github.com/connectbot/connectbot.git,utility,ssh,client,,,
3494_tasks_tasks,https://github.com/tasks/tasks.git,utility,notes,tasks,,,
3582_owncloud_android,https://github.com/owncloud/android.git,utility,storage,,,,
3706_kde_kdeconnect-android,https://github.com/kde/kdeconnect-android.git,utility,,,,,
3760_iiordanov_remote-desktop-clients,https://github.com/iiordanov/remote-desktop-clients.git,utility,rdp,,,,
3782_shouheng88_marknote,https://github.com/shouheng88/marknote.git,utility,notes,,,,
3784_opendatakit_collect,https://github.com/opendatakit/collect.git,utility,forms,,,,
530_nelenkov_android-backup-extractor,https://github.com/nelenkov/android-backup-extractor.git,utility,,,,,
