id, repo, code, class, method, field
3100,jackyandroid_androidchromium,144923,1656,15607,8772
3102,jz-darkal_androidhttpcapture,16480,213,1541,891
3105,schwabe_ics-openvpn,19166,172,1374,938
3111,breadwallet_breadwallet-android,32249,298,2626,1650
3122,klinker24_talon-for-twitter-android,64716,513,3984,3224
3125,cloudant_sync-android,40070,483,3270,1061
3126,moneymanagerex_android-money-manager-ex,52324,577,4432,1985
3159,citiususc_calendula,26230,329,2463,1488
3162,murgo_irssinotifier,3433,48,296,161
3166,mcodex_react-native-sensitive-info,680,10,62,29
3182,tencent_soter,5079,94,553,333
3190,signalapp_libsignal-service-java,39390,312,4585,1638
3195,megatronking_stringfog,1238,26,79,80
3203,iammehedi_secured-preference-store,1456,17,129,72
3219,dizitart_nitrite-database,41554,420,1533,1112
3222,opentelecoms-org_lumicall,19040,172,1463,1114
3235,surespot_android,41218,310,3036,1704
3249,shwenzhang_andresguard,6007,63,469,307
3251,aws-amplify_aws-sdk-android,576063,8447,58603,16822
3257,forcedotcom_salesforcemobilesdk-android,39103,365,3513,2043
3260,federicoiosue_omni-notes,14533,178,1172,627
3263,open-keychain_open-keychain,71028,807,5653,2819
3264,uccmawei_fingerprintidentify,846,22,120,34
3266,fanhua1994_xbaseandroid,19079,212,2112,709
3275,zom_zom-android,48625,401,3634,2585
3289,azuread_azure-activedirectory-library-for-android,45537,447,4326,1828
3304,oblador_react-native-keychain,653,16,66,29
3305,termux_termux-api,5025,77,367,116
3308,l123456789jy_lazy,12738,107,1016,388
3329,jackwhliu_jackknife,14593,203,1608,989
3339,antest1_kcanotify,30523,138,1492,1699
3364,skydoves_preferenceroom,1678,33,142,115
3375,hankkin_reading,16641,199,1641,821
3422,zeapo_android-password-store,4772,48,365,174
3437,samourai-wallet_samourai-wallet-android,27544,182,1903,1006
3440,tomroush_pdfbox-android,82364,797,7092,2970
3441,jwtk_jjwt,5271,118,537,148
3463,connectbot_connectbot,18292,130,1199,994
3485,thirtydegreesray_openhub,28647,449,3278,1281
3494,tasks_tasks,43772,529,3833,2387
3540,novoda_spikes,28908,697,3186,2027
3562,x-falcon_virtual-hosts,18398,224,1691,1137
3563,rehacktive_waspdb,1296,22,144,53
3571,gravitybox_gravitybox,47033,391,3394,3712
3582,owncloud_android,40529,349,2862,1863
3583,nextcloud_android,59172,583,3988,2788
3584,blankj_androidutilcode,25400,263,2895,803
3588,fetlife_android,26493,311,2692,1161
3589,signalapp_signal-android,90328,1327,8846,4543
3605,google_exoplayer,129895,1305,9859,7687
3630,mycelium-com_wallet-android,150735,1501,15898,6870
3645,applozic_applozic-android-sdk,48942,433,4513,3023
3647,teamamaze_amazefilemanager,34456,336,2271,1534
3660,aliyun_aliyun-oss-android-sdk,15451,206,1629,774
3663,haiwen_seadroid,33243,354,3057,1844
3666,cgeo_cgeo,79450,1082,7784,3223
3670,philippc_keepass2android,64976,710,4928,3582
3680,web3j_web3j,32133,601,3446,1164
3685,niranjan94_show-java,62667,931,5852,2233
3691,topjohnwu_magisk,8418,148,615,490
3692,m2049r_xmrwallet,17689,183,1710,877
3697,siacs_conversations,51952,449,4041,1822
3706,kde_kdeconnect-android,13786,167,1115,496
3707,matrix-org_matrix-android-sdk,46185,444,3973,2100
3720,nextcloud_talk-android,17492,234,1102,921
3726,andotp_andotp,6052,59,513,253
3731,playerone-id_eoscommander,10087,187,972,466
3732,mtotschnig_myexpenses,68209,695,5345,2673
3740,mpusher_mpush,16861,366,1904,943
3755,uwetrottmann_seriesguide,46117,635,3198,3106
3759,jamorham_xdrip-plus,109466,1022,8457,6555
3760,iiordanov_remote-desktop-clients,35810,248,2419,2722
3769,pedrosg94_rtmp-rtsp-stream-client-java,19850,214,1875,1236
3777,m66b_open-source-email,17059,114,1083,789
3782,shouheng88_marknote,23412,326,2422,926
3784,opendatakit_collect,52101,614,4029,2150
3789,freeyourgadget_gadgetbridge,50990,492,4331,3316
3801,find-sec-bugs_find-sec-bugs,32586,1033,3106,830
3820,ant-media_ant-media-server,28876,261,2141,1025
3823,afkt_devutils,29971,227,3066,736
